LGA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA99399,296,238,119,33,1390
LGA99499,3,0,0,0,11
LGA99799,0,0,0,0,0
