LGA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
LGA99399,15,7,54,352,600,297,218,328,289,2082
LGA99499,0,0,0,6,3,0,0,0,8,11
LGA99799,0,0,0,0,0,0,0,0,0,0
