LGA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
LGA99399,49,1300,728,228,1630,0.8,1199,2.2
LGA99499,0,0,0,0,0,0,0,0
LGA99799,0,0,0,0,0,0,0,0
