LGA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
LGA99399,45,7,54,301,169,28,491,1292,297,2082
LGA99499,0,0,0,4,0,0,4,6,3,11
LGA99799,0,0,0,0,0,0,0,0,0,0
