LGA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA99399,410,232,189,282,344,447,345,192,54,2494
LGA99499,0,0,4,0,0,3,0,0,0,11
LGA99799,0,0,0,0,0,0,0,0,0,0
