SOSR_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SOSR915,39,1300,1251,150,2656,1,2113,2.5
SOSR921,50,1300,750,230,1631,0.7,1185,2
SOSR922,38,1972,804,250,1837,1.1,2485,3.6
SOSR931,43,1250,662,129,1447,0.8,1142,2.5
SOSR979,0,0,0,0,0,0,0,0
SOSR999,62,0,710,0,0,0,0,0
