SOSR_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SOSR915,28,22,53,43,45,29,26,4,0,254,273,99,202,206,209,181,150,26,4,1355
SOSR921,42,19,19,32,24,32,24,23,6,221,269,151,126,209,228,344,258,129,38,1739
SOSR922,28,17,20,15,14,23,14,8,0,143,162,71,76,102,69,129,57,40,11,707
SOSR931,28,38,121,63,49,28,20,13,0,365,114,87,173,125,158,119,119,66,15,976
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,4,0,0,0,8,0,0,4,0,0,3,0,0,0,11
