SOSR_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SOSR915,..,122,122,120,4,121,60,0,60,58,0,58,34,0,34,10,0,10,291,126,416
SOSR921,..,280,280,263,19,284,77,0,74,54,0,54,28,0,30,9,0,9,426,300,727
SOSR922,..,17,17,47,0,46,21,0,21,25,0,25,21,0,21,36,0,36,144,17,156
SOSR931,..,73,73,71,0,80,23,0,23,34,0,34,13,0,13,13,0,13,155,73,227
SOSR979,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
