SOSR_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SOSR915,0,0,4,181,236,106,73,268,208,1074
SOSR921,13,0,38,242,450,222,147,247,163,1472
SOSR922,5,0,11,83,102,33,33,188,113,550
SOSR931,0,0,15,118,170,69,67,108,327,859
SOSR979,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,6,3,0,0,0,8,11
