SOSR_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SOSR915,12,10,4,0,0,0,29,0,6,8,7,0,0,0,0,24,3,16,30,22,10,12,0,0,92,3,18,16,23,13,7,0,0,79,13,50,37,38,33,20,0,0,198,5,4,0,3,3,0,0,0,35,0,0,3,0,0,0,0,0,10,23,54,50,49,41,21,0,0,243,0,0,0,0,0,8,0,0,12,19,59,43,44,39,28,4,0,238,50,165,163,152,109,68,4,0,710
SOSR921,8,4,13,6,0,0,38,0,3,0,6,11,3,0,0,26,6,24,30,24,31,29,9,8,163,3,11,23,20,39,21,8,0,141,16,30,44,53,79,52,16,5,290,4,4,5,9,3,3,0,0,25,0,3,8,3,4,8,7,0,31,21,33,49,58,92,63,19,5,353,0,4,0,3,5,12,4,0,19,24,18,32,28,36,27,31,9,209,61,98,158,147,230,170,77,18,953
SOSR922,0,5,0,0,0,0,13,0,0,5,0,5,0,0,0,9,4,12,13,14,10,0,0,0,43,4,9,3,3,7,0,0,0,24,11,3,22,9,24,8,0,0,77,8,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,22,8,24,13,24,8,0,0,96,0,0,0,0,0,0,0,0,6,19,20,27,21,20,15,15,0,131,46,50,76,47,65,26,17,0,320
SOSR931,7,6,7,3,0,0,24,0,0,0,0,0,0,0,0,3,0,14,16,15,0,8,3,0,57,0,9,8,8,3,16,7,0,47,9,9,14,25,23,12,10,4,112,0,0,0,3,0,3,0,0,13,0,0,0,4,3,5,0,0,11,15,15,17,33,31,17,10,4,138,0,0,0,0,0,0,0,0,9,36,124,66,50,27,21,13,4,343,49,157,112,114,70,69,38,11,623
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,4,0,0,3,0,0,0,11
