SOSR_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SOSR915,273,99,202,206,209,181,150,26,4,1355
SOSR921,269,151,126,209,228,344,258,129,38,1739
SOSR922,162,71,76,102,69,129,57,40,11,707
SOSR931,114,87,173,125,158,119,119,66,15,976
SOSR979,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,4,0,0,3,0,0,0,11
