SOSR_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SOSR915,90,91,124,108,82,10,71,90,18,686
SOSR921,146,111,171,138,125,95,36,92,19,939
SOSR922,64,54,42,50,28,6,11,44,0,299
SOSR931,50,39,53,38,42,20,21,42,10,329
SOSR979,0,0,0,0,0,0,0,0,0,0
SOSR999,0,4,0,0,0,0,0,0,0,3
