SOSR_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SOSR915,133,11,4,0,0,0,0,149
SOSR921,101,17,8,3,0,0,0,127
SOSR922,76,4,0,0,0,0,0,83
SOSR931,46,0,5,0,0,0,0,54
SOSR979,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0
