SA2_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
901011001,121,72,4,0,968
901021002,54,15,13,0,249
901031003,31,26,13,0,187
901041004,269,215,103,30,1200
997979799,0,0,0,0,0
999999499,3,0,0,0,11
