SA2_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
901011001,38,1300,1233,150,2659,1,2109,2.5
901021002,40,1972,741,231,1678,1.1,2519,3.8
901031003,38,1849,585,90,1687,0.8,1825,3
901041004,50,1300,736,240,1630,0.8,1184,2.1
997979799,0,0,0,0,0,0,0,0
999999499,0,0,0,0,0,0,0,0
