SA2_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
901011001,0,0,4,198,275,116,79,309,423,1406
901021002,5,0,11,71,85,22,19,176,89,467
901031003,0,0,0,44,40,13,28,40,80,246
901041004,15,7,50,312,558,279,192,290,216,1839
997979799,0,0,0,0,0,0,0,0,0,0
999999499,0,0,0,6,3,0,0,0,8,11
