SA2_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
901011001,133,11,4,0,0,0,0,149
901021002,70,3,0,0,0,0,0,77
901031003,13,3,0,0,0,0,0,18
901041004,143,19,10,3,0,0,0,171
997979799,0,0,0,0,0,0,0,0
999999499,0,0,0,0,0,0,0,0
