SA2_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
901011001,4,0,4,218,38,7,271,711,425,1406
901021002,6,0,11,69,31,4,105,270,89,467
901031003,0,0,0,25,20,0,44,121,80,246
901041004,46,7,50,276,147,29,453,1168,218,1839
997979799,0,0,0,0,0,0,0,0,0,0
999999499,0,0,0,4,0,0,4,6,3,11
