SA2_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
901011001,0,0,3,9,6,4,3,0,0,20,0,4,7,3,8,10,13,0,0,43,30,32,150,155,182,141,85,0,0,771
901021002,0,0,0,0,0,3,0,0,0,4,0,5,3,4,0,6,3,0,0,21,4,26,47,60,38,61,6,0,0,239
901031003,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,11,15,13,17,16,11,0,0,0,93
901041004,0,0,5,6,4,14,4,3,0,38,3,3,6,11,8,10,7,4,0,54,64,65,125,189,228,297,131,36,4,1139
997979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999999499,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
