SA2_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
901011001,31,167,129,62,24,414,6,422
901021002,0,32,38,20,24,118,4,122
901031003,7,21,32,7,4,71,20,89
901041004,23,334,334,117,61,871,26,898
997979799,0,0,0,0,0,0,0,0
999999499,0,0,0,0,0,0,0,0
