SA2_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
901011001,127,36,73,67,79,69,66,9,5,527,12,7,10,9,10,16,25,10,0,101,0,0,0,0,4,8,11,0,0,24,0,0,0,0,0,7,0,0,0,6,12,7,16,13,19,20,35,12,0,125,17,33,136,72,56,16,27,0,0,351,152,71,221,146,152,111,128,16,4,1006,109,35,69,77,69,60,37,5,0,461,7,12,3,19,17,13,8,0,0,90,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,3,10,12,6,19,24,17,15,3,0,107,17,13,23,26,22,18,4,4,0,115,134,58,94,117,109,99,52,14,0,685,231,67,138,142,151,131,104,9,5,982,21,19,19,31,25,28,34,10,0,194,0,0,5,0,7,11,10,0,0,32,0,0,0,0,0,7,0,0,0,9,22,19,21,29,37,44,48,18,6,237,28,37,161,100,69,33,28,4,0,472
901021002,55,19,16,35,14,38,18,11,4,213,3,0,3,4,6,8,6,4,0,32,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,3,8,6,9,6,6,3,34,9,3,6,5,6,11,5,9,0,59,70,18,32,45,27,53,30,18,3,302,42,16,22,32,18,36,14,7,0,190,0,4,6,0,0,9,9,0,4,34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,15,9,0,4,39,15,7,13,7,5,13,8,5,0,60,54,29,36,42,31,54,32,12,0,292,100,34,38,65,35,70,33,20,3,401,3,4,6,0,9,16,9,6,5,64,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,3,4,6,7,9,22,11,5,4,76,20,10,18,12,14,23,14,5,0,114
901031003,13,12,10,8,10,9,0,3,0,61,0,0,0,0,3,8,4,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,12,0,0,0,6,6,6,7,0,0,31,10,6,10,7,6,5,4,6,0,53,27,18,17,18,22,25,16,10,0,149,21,16,10,6,9,7,6,0,0,68,5,3,0,3,8,3,0,0,0,24,0,0,0,0,0,3,0,0,0,8,0,0,0,0,4,3,0,5,0,12,5,4,0,3,9,6,3,4,0,38,11,8,3,3,6,8,4,5,0,47,36,21,19,15,29,16,10,10,0,158,33,31,19,13,17,12,6,3,0,136,3,3,3,5,8,7,6,0,0,40,0,0,0,0,3,3,0,0,0,10,0,0,0,0,7,3,6,3,0,19,3,4,3,11,17,16,15,4,0,67,24,14,12,15,14,8,14,7,0,106
901041004,158,65,54,67,95,115,57,28,9,640,11,9,7,24,19,40,41,24,4,179,0,0,0,4,7,10,21,8,3,55,0,0,0,0,0,6,11,5,3,32,11,9,7,32,27,50,75,40,16,261,34,17,9,18,22,28,16,9,0,152,199,83,67,117,150,195,147,76,23,1060,126,65,60,94,94,140,90,35,8,716,5,17,7,20,27,47,42,32,5,199,0,0,3,0,4,12,19,5,5,55,0,0,0,0,3,0,9,6,0,29,5,23,12,27,34,60,70,43,16,281,23,15,16,17,19,18,15,17,4,135,154,100,90,136,151,216,170,95,30,1130,279,130,114,160,189,259,151,58,20,1362,16,29,11,44,43,88,79,56,9,371,0,0,3,8,20,14,41,16,4,114,0,0,0,0,5,9,20,14,10,55,16,28,20,52,61,114,140,87,27,544,52,31,26,41,42,41,29,29,6,285
997979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999999499,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8
