SAL_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL90001,121,72,4,0,968
SAL90002,28,16,11,0,163
SAL90003,31,26,13,0,187
SAL90004,269,215,103,30,1200
SAL90005,25,9,4,0,90
SAL99494,3,0,0,0,11
SAL99797,0,0,0,0,0
