SAL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SAL90001,0,0,4,198,275,116,79,309,423,1406
SAL90002,5,0,11,48,42,15,13,168,61,348
SAL90003,0,0,0,44,40,13,28,40,80,246
SAL90004,15,7,50,312,558,279,192,290,216,1839
SAL90005,0,0,0,25,45,14,8,6,29,121
SAL99494,0,0,0,6,3,0,0,0,8,11
SAL99797,0,0,0,0,0,0,0,0,0,0
