SAL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SAL90001,31,167,129,62,24,414,6,422
SAL90002,0,12,19,17,23,76,0,80
SAL90003,7,21,32,7,4,71,20,89
SAL90004,23,334,334,117,61,871,26,898
SAL90005,0,20,11,4,0,44,3,43
SAL99494,0,0,0,0,0,0,0,0
SAL99797,0,0,0,0,0,0,0,0
