SAL_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SAL90001,9,7,4,0,0,0,29,0,6,8,11,0,0,0,0,29,3,21,30,25,10,12,0,0,99,3,18,23,21,14,7,0,0,86,17,55,45,42,41,22,0,0,216,7,4,0,9,3,3,0,0,39,0,0,3,5,0,0,0,0,11,29,62,50,56,47,27,0,0,268,0,0,0,0,0,8,0,0,12,42,164,96,75,46,28,4,0,451,71,278,224,194,121,72,4,0,968
SAL90002,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,7,3,0,0,0,0,0,8,11,4,14,0,11,3,0,0,48,5,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,14,8,15,0,9,3,0,0,58,0,0,0,0,0,0,0,0,5,10,11,17,13,16,10,9,0,80,27,29,43,15,28,16,11,0,163
SAL90003,5,5,0,0,0,0,7,0,0,3,0,5,0,0,0,3,0,9,3,5,7,0,0,0,25,0,0,0,4,0,6,0,0,11,7,0,3,9,8,3,3,0,31,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,6,0,5,10,8,3,3,0,46,0,0,0,0,0,0,0,0,0,15,13,10,17,12,13,9,0,88,22,27,30,38,31,26,13,0,187
SAL90004,13,5,12,16,3,0,60,0,3,0,5,12,4,0,0,34,9,31,47,32,28,35,14,4,202,3,20,30,25,46,40,17,5,178,25,35,53,64,100,60,23,13,360,7,4,0,3,3,3,0,0,34,3,7,8,3,12,13,7,0,39,32,38,57,78,113,79,29,13,435,0,4,0,4,5,12,4,0,26,29,26,38,41,54,33,37,13,273,78,125,190,191,269,215,103,30,1200
SAL90005,0,0,0,0,0,0,4,0,0,4,0,5,0,0,0,7,0,4,3,8,5,0,0,0,22,0,0,4,0,0,0,0,0,9,0,0,5,8,12,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,12,3,0,0,23,0,0,0,0,0,0,0,0,0,4,3,0,3,9,5,4,0,29,3,14,20,20,25,9,4,0,90
SAL99494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,4,0,0,3,0,0,0,11
SAL99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
