SAL_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SAL90001,0,0,0,0,0,0,0,0,0,13,6,0,23,0,0,0,24,12,0,34
SAL90002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
SAL90003,0,0,0,0,0,0,0,4,5,3,7,0,10,0,0,0,8,9,4,25
SAL90004,0,0,0,0,0,0,0,0,0,27,29,4,58,0,0,0,58,17,0,73
SAL90005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL99494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
