SAL_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL90001,22,10,62,86,85,60,22,0,0,347,10,7,10,14,9,21,22,13,0,107,3,4,23,20,14,16,4,3,0,88,32,23,94,117,109,99,52,14,0,546,3,23,108,122,138,96,57,0,0,548,23,6,29,33,33,29,21,0,0,170,0,0,7,8,5,6,5,0,0,27,0,0,6,0,6,8,6,0,0,28,30,32,150,155,182,141,85,0,0,771,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,12,26,32,150,157,182,145,85,0,0,783,23,23,122,66,39,36,68,31,4,415,3,10,49,42,42,27,24,3,0,208,54,73,319,271,263,210,178,32,4,1406
SAL90002,0,12,17,18,9,15,0,0,0,69,4,3,9,11,4,16,17,7,0,78,0,6,7,5,0,10,6,0,0,26,4,16,26,25,14,46,26,12,0,174,0,11,22,29,12,22,0,0,0,100,0,8,11,16,3,12,0,0,0,51,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,26,31,42,15,35,0,0,0,155,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,3,23,34,41,18,44,0,0,0,158,4,4,7,8,3,23,41,28,11,132,0,3,10,9,7,17,5,6,0,56,11,31,50,61,27,78,50,30,11,348
SAL90003,7,6,10,11,15,7,0,0,0,45,6,3,3,6,10,6,11,6,0,37,4,4,6,7,6,8,4,6,0,35,11,15,19,15,29,16,10,10,0,122,8,8,12,11,11,9,0,0,0,59,0,0,0,4,3,4,0,0,0,19,0,0,5,3,4,0,0,0,0,9,0,4,0,0,3,0,0,0,0,3,11,15,13,17,16,11,0,0,0,93,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,5,0,0,0,7,11,15,13,20,22,20,0,0,0,102,6,3,3,5,16,4,15,4,0,66,4,3,13,12,15,8,14,9,0,80,22,21,32,35,47,37,27,16,0,246
SAL90004,31,38,72,101,123,163,71,23,0,627,12,4,8,14,18,39,89,57,19,253,4,8,13,17,14,20,12,11,6,101,49,48,90,136,151,216,170,95,30,983,10,37,62,110,138,171,43,8,0,578,43,24,45,68,70,107,72,23,3,455,5,6,15,12,15,19,17,4,0,94,4,3,4,0,4,0,0,0,0,15,64,65,125,189,228,297,131,36,4,1139,0,0,0,4,0,10,0,0,0,14,0,0,0,0,3,5,0,0,0,12,0,0,0,6,0,11,3,0,0,33,64,68,125,199,230,306,137,35,4,1172,23,6,7,23,32,62,159,107,42,466,12,10,21,31,33,40,26,28,8,204,103,81,154,250,297,409,319,174,50,1839
SAL90005,0,0,10,8,9,11,5,0,0,45,0,0,0,0,0,0,0,0,0,3,0,0,4,5,4,3,0,0,0,17,3,5,12,13,15,13,3,0,0,60,0,0,3,12,20,21,4,0,0,58,3,0,6,9,8,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,18,23,26,5,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,18,23,26,5,0,0,89,0,0,0,0,0,4,0,0,0,5,0,0,3,0,3,9,5,4,0,29,0,5,19,20,29,37,10,4,0,121
SAL99494,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,0,11
SAL99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
