SAL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SAL90001,3,0,0,3,0,6,0,9,0,20,0,11,0,0,12,6,4,0,10,43,27,105,38,30,207,161,45,130,28,771
SAL90002,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,3,0,15,4,33,8,11,29,19,3,44,0,155
SAL90003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,8,6,0,16,19,3,18,3,93
SAL90004,0,3,3,3,12,9,5,0,0,38,14,12,3,4,10,9,3,5,0,54,94,183,141,127,255,189,50,84,15,1139
SAL90005,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,5,0,0,0,8,0,11,9,8,16,22,6,14,0,89
SAL99494,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3
SAL99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
