SAL_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
SAL90001,0,0,0,40,36,69,3,5,12,45,41,83,0,0,0,49,43,94,8,3,8,58,49,100,0,0,0,42,43,84,8,5,15,50,46,100,0,0,0,20,27,48,4,3,3,22,32,54,0,0,0,45,20,60,9,3,9,52,23,73,0,0,0,80,40,121,10,4,19,93,48,140,0,0,0,109,33,144,20,12,33,131,53,184,0,0,0,77,52,128,11,9,23,88,68,158,0,0,0,54,48,99,4,4,13,63,55,115,0,0,0,64,35,101,11,4,17,70,40,115,0,0,0,63,62,126,12,7,27,82,64,152,0,0,0,56,34,97,8,9,19,64,48,112,3,3,5,42,44,83,3,6,3,46,54,95,0,0,0,130,59,190,19,7,26,147,66,216,4,4,10,867,577,1442,134,98,234,1006,685,1692
SAL90002,0,0,0,17,13,29,5,3,3,18,14,32,0,0,0,20,17,33,0,4,0,23,15,40,0,0,0,15,11,27,0,5,4,20,14,29,0,0,0,4,3,8,0,0,0,4,4,11,0,0,0,16,16,29,3,6,3,20,16,31,0,0,0,16,10,24,3,3,9,19,11,34,0,0,0,0,9,12,0,0,0,0,11,14,0,0,0,20,17,38,0,0,4,20,20,39,0,0,0,10,8,23,0,3,3,10,11,22,0,0,0,10,6,13,0,0,0,8,6,11,0,0,0,7,6,11,3,0,0,7,7,17,0,0,0,15,21,37,0,0,5,18,24,35,0,0,0,15,15,27,5,0,3,17,19,33,0,0,0,45,40,84,3,3,11,45,42,88,0,0,0,203,188,390,28,34,57,230,215,448
SAL90003,3,7,6,0,4,8,0,0,0,7,14,14,5,10,11,0,3,3,0,0,0,8,14,15,7,11,19,0,6,6,7,0,4,11,12,24,7,4,12,0,5,6,0,3,5,9,11,22,5,10,13,4,5,4,0,0,0,12,15,21,6,7,15,5,0,10,0,0,0,10,14,21,0,0,4,3,3,10,0,3,3,3,9,12,7,0,7,3,3,8,0,0,0,13,7,20,3,3,9,0,3,6,0,0,0,5,12,14,4,9,21,0,4,9,0,0,0,10,14,24,6,7,12,8,4,9,3,0,3,12,9,22,9,0,8,5,3,10,0,3,4,14,5,19,4,3,8,3,3,7,0,0,0,11,8,14,16,21,37,5,0,7,0,0,6,22,20,47,85,105,186,43,43,88,14,15,24,149,158,310
SAL90004,0,0,0,52,38,84,7,8,18,59,41,101,0,0,0,56,57,109,4,4,12,63,60,123,0,0,0,63,41,106,14,7,21,77,49,128,0,0,0,39,40,86,8,6,15,50,49,103,0,0,0,25,40,73,6,8,13,31,48,81,0,0,0,32,35,65,4,4,10,36,40,78,0,0,0,29,43,65,4,10,14,32,51,80,0,0,0,36,62,106,8,7,15,41,74,117,0,0,0,60,51,112,8,12,20,69,64,134,0,0,0,55,66,128,11,4,18,66,72,141,0,5,5,68,63,130,13,8,18,78,74,150,3,0,3,80,97,178,15,6,19,97,110,203,0,0,5,89,100,181,15,9,19,104,109,209,0,0,6,226,266,490,27,28,56,249,293,538,8,13,23,914,999,1909,138,117,258,1060,1130,2188
SAL90005,0,0,0,5,0,10,0,0,0,5,0,10,0,0,0,7,4,9,0,0,0,7,4,9,0,0,0,6,4,9,0,0,3,4,3,10,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,4,3,4,0,3,7,4,8,10,0,0,0,4,4,6,0,0,3,4,8,11,0,0,0,6,9,12,3,0,3,9,10,18,0,0,0,0,4,3,0,0,0,0,5,3,0,0,0,9,5,11,3,0,5,10,8,13,0,0,0,5,7,11,0,3,3,5,8,14,0,0,0,5,6,14,0,3,0,7,6,15,0,0,0,12,10,14,0,0,6,12,5,21,0,0,0,6,5,4,5,0,6,11,3,13,0,0,0,60,59,120,12,15,26,74,69,147
SAL99494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,4,5,6,6,3,0,3,6,4,11
SAL99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
