SAL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SAL90001,4,0,4,218,38,7,271,711,425,1406
SAL90002,6,0,11,48,27,0,76,206,61,348
SAL90003,0,0,0,25,20,0,44,121,80,246
SAL90004,46,7,50,276,147,29,453,1168,218,1839
SAL90005,0,0,0,20,8,6,28,59,29,121
SAL99494,0,0,0,4,0,0,4,6,3,11
SAL99797,0,0,0,0,0,0,0,0,0,0
