SAL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SAL90001,856,546,1406,347,200,548,54,114,170,29,27,55,0,5,12,431,347,783,304,107,415,0.9,1.7,1.3,50.7,63.5,55.7,50.2,62.4,55,10,21,29,9,13,29,32,63,99,38,46,86,166,54,216,16,18,39,6,7,11,190,85,268,545,466,1009,109,105,208,397,350,746,211,189,397
SAL90002,173,174,348,66,36,100,26,28,51,0,0,4,3,4,5,91,69,158,50,78,132,2.2,5.9,3.7,54.1,38.9,46.4,52.9,36.6,44.7,0,0,5,0,0,0,0,3,4,3,6,8,27,15,48,3,7,15,0,0,3,37,22,58,185,166,349,9,11,23,156,149,303,21,18,38
SAL90003,125,122,246,44,19,59,0,18,19,5,6,14,3,0,7,53,45,102,29,37,66,3.8,8.7,6.1,43.4,37.7,40.6,41.8,34.4,38.1,0,6,7,0,4,3,16,9,25,12,4,11,18,15,31,0,0,5,0,3,5,25,22,46,81,93,176,16,16,38,49,62,113,38,42,83
SAL90004,860,983,1839,333,251,578,150,303,455,45,58,103,20,15,33,545,627,1172,209,253,466,3.1,2.2,2.7,63.4,63.6,63.5,61.5,62.2,61.8,25,35,60,0,34,34,73,125,202,61,116,178,268,95,360,5,25,34,12,27,39,289,143,435,739,827,1564,179,176,350,503,562,1062,365,417,776
SAL90005,61,60,121,28,25,58,11,14,26,0,0,0,0,0,0,40,45,89,9,3,5,0,0,0,69,73.8,71.4,69,73.8,71.4,0,4,4,0,3,7,6,15,22,5,3,9,21,6,23,0,0,0,0,0,0,21,6,23,38,33,75,14,20,38,21,18,35,34,34,72
SAL99494,6,4,11,3,6,5,4,0,4,0,0,0,0,0,4,5,4,8,0,0,0,16.7,33.3,0,66.7,100,0,55.6,66.7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,6,4,0,0,0,5,6,4
SAL99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
