SAL_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SAL90001,4,11,4,22,0,20,31,52,0,86,133,221,3,69,72,146,8,87,55,152,9,87,17,111,4,96,26,128,0,17,0,16,0,4,0,4,33,482,342,856,5,28,3,32,0,17,3,23,8,67,25,94,6,88,20,117,11,82,17,109,14,70,13,99,5,43,5,52,0,15,3,14,0,0,0,0,47,409,89,546,4,43,8,54,0,36,30,73,9,152,160,319,20,158,97,271,17,170,70,263,22,154,35,210,8,140,25,178,0,31,0,32,0,4,0,4,79,895,434,1406
SAL90002,0,4,0,4,0,16,3,20,0,18,3,23,0,23,6,36,0,9,3,16,3,23,7,37,0,19,4,26,6,13,0,19,0,5,0,3,9,129,30,173,0,3,0,4,0,16,6,16,4,19,7,26,5,18,7,25,0,10,0,14,4,22,13,46,5,24,6,26,0,9,0,12,0,0,0,0,17,121,38,174,0,8,0,11,0,28,3,31,3,34,10,50,5,43,12,61,3,16,7,27,8,48,19,78,6,39,5,50,4,21,6,30,0,6,0,11,28,249,65,348
SAL90003,0,7,0,9,0,7,5,12,0,9,10,17,4,11,3,18,3,16,6,22,3,14,5,25,4,0,4,16,0,3,3,10,0,0,0,0,13,69,41,125,0,10,4,11,0,10,4,15,0,12,3,19,5,4,7,15,4,19,6,29,0,7,4,16,0,3,4,10,0,6,6,10,0,0,0,0,18,69,39,122,0,19,4,22,0,15,4,21,0,22,12,32,3,19,12,35,5,30,11,47,6,20,10,37,7,11,14,27,0,6,9,16,0,0,0,0,26,136,76,246
SAL90004,0,40,10,50,4,24,6,31,3,54,8,67,12,92,15,117,19,110,20,150,30,141,24,195,15,123,15,147,5,57,11,76,4,19,3,23,91,655,113,860,0,38,12,49,5,39,4,48,5,69,13,90,13,103,17,136,35,103,11,151,39,158,15,216,28,128,16,170,16,70,10,95,0,21,4,30,149,723,111,983,3,77,23,103,7,62,12,81,9,118,22,154,28,196,31,250,49,207,33,297,68,302,41,409,42,249,31,319,24,125,22,174,8,39,8,50,236,1380,225,1839
SAL90005,0,0,0,0,0,0,0,0,0,4,3,8,0,4,3,10,0,9,3,16,0,15,7,23,0,4,0,5,0,0,4,4,0,0,0,0,0,48,11,61,0,0,0,3,0,0,0,5,0,10,4,12,0,8,5,13,0,9,4,15,0,10,3,13,0,5,0,3,0,0,0,0,0,0,0,0,0,46,17,60,0,3,0,0,0,0,0,5,0,14,3,19,0,13,0,20,0,23,3,29,0,26,9,37,0,4,5,10,0,0,4,4,0,0,0,0,0,91,29,121
SAL99494,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,11
SAL99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
