SAL_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SAL90001,..,131,131,120,4,129,60,0,60,58,0,58,34,0,34,10,0,10,292,130,422
SAL90002,..,0,0,21,0,21,15,0,15,12,0,12,12,0,12,26,0,26,79,0,80
SAL90003,..,20,20,24,4,27,7,0,7,15,0,15,4,0,4,14,0,14,68,19,89
SAL90004,..,342,342,320,19,341,96,0,93,75,0,75,39,0,37,12,0,12,539,361,898
SAL90005,..,5,5,21,0,22,9,0,9,6,0,6,4,0,4,0,0,0,34,10,43
SAL99494,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL99797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
