SAL_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
SAL90001,0,0,0,0,22,22,3,0,0,0,45,52,56,4,5,0,152,221,72,3,13,3,55,146,79,13,21,0,39,152,72,7,15,0,14,111,90,8,9,0,13,128,11,4,0,0,0,16,4,0,0,0,0,4,387,45,63,9,351,856,0,0,0,0,32,32,0,0,0,0,19,23,42,5,0,0,55,94,81,3,6,0,28,117,71,3,18,3,18,109,69,4,15,0,9,99,34,0,3,8,3,52,9,0,0,3,0,14,0,0,0,0,0,0,311,14,45,25,163,546,0,0,0,0,54,54,10,0,0,0,61,73,100,8,6,0,205,319,154,10,18,3,88,271,152,10,32,3,55,263,138,13,31,0,22,210,124,10,20,15,18,178,24,5,0,6,0,32,4,0,0,0,0,4,693,59,112,31,511,1406
SAL90002,0,0,0,0,4,4,5,0,0,0,11,20,16,0,0,0,0,23,30,0,5,0,0,36,16,0,0,0,0,16,33,0,0,0,0,37,26,0,0,0,0,26,17,0,0,0,0,19,0,0,0,0,0,3,145,0,6,3,22,173,0,0,0,0,4,4,9,0,0,0,4,16,23,0,0,0,0,26,26,0,0,0,5,25,14,0,0,0,0,14,41,3,0,0,3,46,27,0,0,0,0,26,12,0,0,0,0,12,0,0,0,0,0,0,140,3,7,4,24,174,0,0,0,0,11,11,14,0,0,0,14,31,45,0,0,0,3,50,53,0,7,0,5,61,28,0,0,0,0,27,70,3,0,0,3,78,47,0,0,0,0,50,24,0,0,3,0,30,0,0,0,7,0,11,283,3,10,11,44,348
SAL90003,0,0,0,0,9,9,0,0,0,0,12,12,3,0,0,0,14,17,13,0,0,0,7,18,8,0,0,0,10,22,14,0,0,0,7,25,11,0,0,0,0,16,6,0,0,0,0,10,0,0,0,0,0,0,46,0,0,4,69,125,0,0,0,0,11,11,0,0,0,0,15,15,0,3,0,0,10,19,10,0,0,0,7,15,15,0,0,0,12,29,9,0,0,3,8,16,5,0,0,0,3,10,5,0,0,9,0,10,0,0,0,0,0,0,43,4,0,16,63,122,0,0,0,0,22,22,0,0,0,0,21,21,6,3,0,0,25,32,17,0,0,0,16,35,21,0,4,0,24,47,20,3,0,3,14,37,17,0,0,5,7,27,4,0,0,5,0,16,0,0,0,0,0,0,81,6,8,13,132,246
SAL90004,0,0,0,0,50,50,0,0,0,0,36,31,17,0,0,0,50,67,56,7,6,0,42,117,81,10,20,0,39,150,96,8,58,7,28,195,94,11,24,5,9,147,48,0,13,7,3,76,12,0,0,10,0,23,405,45,124,23,260,860,0,0,0,0,50,49,0,0,0,0,44,48,18,3,0,0,66,90,65,5,3,0,55,136,60,14,29,0,43,151,108,10,65,3,32,216,89,4,32,26,19,170,42,0,16,32,0,95,0,0,4,16,0,30,390,41,148,84,305,983,0,0,0,0,101,103,4,0,0,0,79,81,40,3,0,0,118,154,124,11,13,0,102,250,135,28,49,0,77,297,198,22,118,15,63,409,184,14,63,27,27,319,92,5,25,41,4,174,13,0,9,27,0,50,795,86,270,110,569,1839
SAL90005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,6,0,0,0,3,10,10,0,3,0,0,16,16,0,0,0,3,23,3,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,31,0,3,3,18,61,0,0,0,0,3,3,0,0,0,0,5,5,0,0,0,0,11,12,8,0,0,0,4,13,11,0,3,0,0,15,8,0,7,0,0,13,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,33,6,3,0,22,60,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,14,19,14,0,0,0,12,20,17,0,3,0,3,29,22,3,10,0,3,37,4,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,65,4,11,3,34,121
SAL99494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,11
SAL99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
