SAL_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SAL90001,1006,685,1692,45,41,83,107,96,200,22,32,54,52,23,73,221,94,319,146,117,271,152,109,263,111,99,210,128,52,178,16,14,32,4,0,4,954,643,1598,51,35,88,4,6,9,0,0,0,0,0,0,4,4,10,374,315,690,492,249,739,283,215,495,391,364,757,542,434,979,13,12,25,90,85,177,11,21,38,6,5,12,23,23,44,270,265,533,41,41,80,110,82,185,18,13,29,59,33,93,13,18,34,552,495,1049,617,314,935
SAL90002,230,215,448,18,14,32,40,25,73,4,4,11,20,16,31,23,26,50,36,25,61,16,14,27,37,46,78,26,26,50,19,12,30,3,0,11,209,205,417,18,11,33,0,0,0,0,0,0,0,0,0,0,0,0,174,166,337,22,13,30,8,4,10,186,181,366,191,185,383,4,4,3,34,20,51,0,0,4,0,0,0,8,7,11,51,68,117,6,8,16,20,16,31,3,4,10,15,7,19,38,44,85,187,178,364,35,36,67
SAL90003,149,158,310,7,14,14,18,29,46,9,11,22,12,15,21,17,19,32,18,15,35,22,29,47,25,16,37,16,10,27,10,10,16,0,0,0,141,156,294,4,7,14,83,99,183,0,0,0,0,0,5,85,105,186,95,110,203,8,3,15,95,102,200,3,9,13,95,114,211,6,3,7,9,20,28,6,3,3,0,0,5,7,5,6,44,44,94,4,4,11,17,11,23,12,9,22,4,9,15,0,0,0,125,145,267,121,53,178
SAL90004,1060,1130,2188,59,41,101,139,114,247,50,49,103,31,48,81,67,90,154,117,136,250,150,151,297,195,216,409,147,170,319,76,95,174,23,30,50,1003,1058,2061,54,78,128,3,16,17,5,0,0,0,0,0,8,13,23,666,675,1345,249,328,572,533,617,1146,397,396,787,829,915,1741,21,14,36,116,100,210,34,37,68,9,14,23,7,31,44,352,500,850,74,73,149,252,243,492,44,32,74,16,13,27,3,0,4,878,962,1842,220,221,443
SAL90005,74,69,147,5,0,10,11,7,21,0,3,0,0,5,5,8,12,19,10,13,20,16,15,29,23,13,37,5,3,10,4,0,4,0,0,0,69,67,132,8,3,9,0,0,0,0,0,0,0,0,0,0,0,0,52,46,93,12,10,22,52,47,104,8,11,15,61,57,113,0,0,0,9,6,19,0,0,0,0,0,0,0,3,3,22,37,58,5,4,5,14,3,23,0,0,3,0,0,0,0,0,4,64,62,125,80,72,150
SAL99494,6,4,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,4,11,0,0,0,3,0,4,0,0,0,3,0,4,10,4,12,0,0,0,5,0,5,3,3,5,10,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
