SAL_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
SAL90001,0,0,15,15,0,0,14,19,30,15,27,72,41,4,19,59,49,13,18,72,40,9,28,79,43,3,31,81,3,0,6,10,3,0,0,4,206,46,159,410,0,0,27,27,0,3,8,11,26,14,18,56,64,6,16,85,52,12,17,76,39,4,9,57,25,0,18,39,3,0,3,10,0,0,0,0,211,43,116,372,0,0,43,45,0,7,22,29,58,26,46,129,103,10,34,145,94,22,34,155,78,16,38,138,72,8,45,118,10,0,12,22,3,0,0,4,421,89,272,781
SAL90002,0,0,4,4,3,0,11,13,10,0,0,20,28,0,0,27,10,0,0,10,32,0,0,32,18,0,0,16,12,0,0,13,0,0,6,6,108,0,24,134,0,0,4,4,3,0,3,16,18,0,0,21,19,0,5,25,11,0,0,12,32,0,5,37,19,0,0,22,4,0,3,11,0,0,0,0,106,0,33,138,0,0,9,9,8,0,20,27,30,0,4,36,43,0,6,50,18,0,0,20,57,0,5,63,37,0,0,38,20,0,8,26,0,0,10,10,216,0,55,273
SAL90003,0,0,6,6,0,0,8,8,0,3,8,14,7,0,8,18,0,3,14,20,13,0,8,17,6,0,8,12,0,0,5,10,0,0,0,0,30,9,61,100,0,0,8,8,0,0,10,10,6,3,6,17,6,3,7,14,7,0,15,30,5,0,5,13,3,0,8,10,0,0,7,8,0,0,0,0,31,8,67,104,0,0,15,15,0,0,20,20,7,6,17,29,11,0,15,26,12,3,27,47,18,6,9,28,7,0,12,22,9,0,9,18,0,0,0,0,61,17,129,207
SAL90004,0,3,45,47,0,5,19,25,14,18,21,53,46,23,24,92,62,29,23,116,69,24,58,158,78,16,31,124,41,9,16,64,13,0,6,21,325,127,255,701,0,0,39,39,5,13,26,37,23,24,28,67,53,30,31,109,51,24,43,127,88,29,73,199,63,13,61,137,37,0,46,79,0,0,18,20,317,131,360,811,0,3,80,84,5,17,43,62,32,44,51,127,101,49,55,202,115,51,74,239,162,56,134,351,143,26,93,262,78,9,61,144,12,0,29,42,645,255,612,1513
SAL90005,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,6,3,3,13,10,3,0,15,4,0,0,4,0,0,4,4,0,0,0,0,22,11,12,37,0,0,0,0,0,0,0,0,0,4,0,4,3,3,0,10,7,5,0,9,4,5,0,12,5,0,0,5,0,0,0,0,0,0,0,0,21,14,3,38,0,0,3,3,0,0,0,0,3,8,0,6,5,6,0,13,14,9,3,22,13,6,5,27,5,0,0,5,0,0,4,4,0,0,0,0,45,23,15,80
SAL99494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
