SAL_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
SAL90001,26,17,11,20,11,3,11,16,13,29,15,7,24,64,48,112,14,12,25,6,6,17,9,8,19,12,10,17,7,14,18,46,54,95,11,8,20,16,10,30,9,0,13,13,8,23,12,8,22,63,38,102,21,4,24,26,3,31,5,3,10,5,0,5,0,4,6,63,14,78,0,0,0,3,5,6,0,0,4,0,0,0,5,5,4,12,8,20,10,6,17,5,0,5,0,0,4,0,0,0,0,0,0,1006,685,1692
SAL90002,7,0,3,3,6,8,14,7,0,10,3,9,9,18,24,35,0,0,4,8,4,10,0,6,9,4,8,14,4,0,4,17,19,33,0,0,3,0,5,9,5,0,5,3,3,4,3,7,9,10,14,29,11,4,11,0,7,7,4,5,8,5,0,5,0,4,4,12,11,29,4,0,3,5,0,9,3,0,6,6,0,4,0,0,0,13,10,19,4,3,7,0,0,10,0,0,0,0,0,0,0,0,0,230,215,448
SAL90003,9,0,0,3,3,4,3,0,0,0,0,0,0,14,5,19,0,4,4,0,0,3,0,0,5,4,3,5,0,0,0,11,8,14,4,3,0,0,7,5,0,0,0,3,0,3,6,0,5,13,6,21,0,0,0,0,0,0,6,0,6,0,3,5,0,0,0,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,8,13,8,5,7,0,0,0,0,0,0,0,0,0,0,0,0,149,158,310
SAL90004,31,19,13,31,24,24,47,22,20,39,20,36,57,97,110,203,14,21,34,21,25,48,24,22,45,24,18,40,17,27,42,104,109,209,26,20,40,15,21,35,13,18,29,9,20,32,16,15,32,74,96,170,17,9,27,18,27,39,12,25,32,12,12,29,10,9,13,76,75,152,10,16,25,5,12,20,11,8,20,11,13,26,6,4,9,50,55,105,28,34,70,16,21,33,7,4,21,0,0,0,0,0,0,1060,1130,2188
SAL90005,4,0,0,3,0,0,3,0,0,0,0,0,0,7,6,15,0,4,4,0,0,0,8,3,11,4,0,4,6,0,3,12,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,5,0,5,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,69,147
SAL99494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,11
SAL99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
