SOS_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SOS91,39,1300,1251,150,2656,1,2113,2.5
SOS92,47,1300,760,240,1670,0.8,1325,2.3
SOS93,43,1250,662,129,1447,0.8,1142,2.5
SOS97,0,0,0,0,0,0,0,0
SOS99,62,0,710,0,0,0,0,0
