SOS_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SOS91,28,22,53,43,45,29,26,4,0,254,273,99,202,206,209,181,150,26,4,1355
SOS92,69,35,39,51,42,57,40,34,7,362,428,223,202,311,296,471,314,162,48,2450
SOS93,28,38,121,63,49,28,20,13,0,365,114,87,173,125,158,119,119,66,15,976
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,4,0,0,0,8,0,0,4,0,0,3,0,0,0,11
