SOS_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SOS91,4,0,4,219,38,7,261,606,209,1074
SOS92,44,6,48,297,154,26,481,1265,278,2017
SOS93,8,0,15,78,41,12,130,402,322,859
SOS97,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,4,0,0,4,6,3,11
