UCL_CODE_2021,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
UCL915001,4,3,0,0,10,5,23,3,4,0,0,7,10,27,23,16,3,0,38,30,116,16,14,7,9,22,23,90,15,32,11,3,31,27,115,23,21,14,6,23,10,97,10,23,11,5,40,18,107,3,0,0,3,4,0,15,0,0,0,0,0,0,4,107,117,40,27,168,126,577,10,6,0,0,13,3,34,4,0,0,4,7,3,19,12,25,7,6,20,23,88,14,37,15,13,18,20,112,8,28,22,9,17,12,98,11,16,11,15,10,16,84,0,5,6,9,22,4,42,0,0,3,0,5,3,9,0,0,0,0,0,0,0,70,116,68,48,99,86,494,12,9,0,0,20,11,51,14,6,0,4,11,13,45,39,39,11,5,51,52,202,29,48,28,16,38,41,206,25,60,29,12,47,43,209,32,41,29,19,37,24,181,21,26,15,9,60,24,150,6,0,4,8,8,0,26,0,0,0,0
UCL921001,14,7,0,0,7,10,40,13,5,0,0,6,6,30,16,14,4,4,7,12,56,17,37,14,0,16,13,98,20,35,12,14,14,13,109,48,54,18,10,20,20,160,7,45,11,16,23,10,110,9,14,6,5,23,10,57,0,0,3,3,5,0,17,142,211,72,51,121,83,679,19,6,0,0,7,6,40,8,11,4,0,9,5,35,11,22,10,9,12,9,70,10,31,38,14,7,15,115,16,35,31,15,15,9,122,26,70,35,17,22,11,179,14,40,27,27,33,9,148,5,18,6,11,21,12,67,3,5,3,0,7,0,20,100,241,150,94,130,78,796,34,11,0,0,23,11,83,16,22,10,0,11,9,67,20,38,15,13,21,18,126,29,64,50,17,24,27,209,35,77,44,25,27,23,228,71,121,56,25,42,31,344,24,78,40,45,48,23,258,7,30,9,17,43,17,129,7,8,5,3
UCL922001,0,0,0,0,4,0,4,5,4,0,0,10,3,20,3,0,0,0,13,3,19,3,3,4,0,14,5,32,0,3,0,0,7,3,16,4,3,0,0,17,9,34,6,0,0,0,10,4,25,5,0,0,0,8,0,15,0,0,0,0,5,0,3,28,20,3,9,76,27,165,0,0,0,0,3,0,3,0,7,0,0,12,6,16,3,0,0,0,10,7,21,0,6,0,0,14,6,26,0,0,0,0,7,0,14,4,8,0,0,16,13,41,4,0,3,0,14,6,26,3,0,0,0,5,0,11,0,0,0,0,3,0,0,15,20,9,10,80,35,168,0,0,0,0,5,0,11,5,4,0,0,14,3,31,10,0,0,0,22,10,46,8,7,4,5,30,9,58,3,3,0,3,13,4,29,7,15,0,0,30,21,75,11,5,3,0,17,5,43,6,0,0,3,7,6,29,0,0,0,0
UCL922002,0,0,0,0,0,0,3,0,3,0,0,4,0,4,0,3,0,0,0,0,6,0,4,0,0,0,0,12,4,4,0,0,0,3,7,3,3,0,0,3,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,4,12,12,51,3,0,0,0,0,0,6,0,0,0,0,5,0,7,0,0,0,3,0,0,7,0,3,0,4,0,3,14,0,0,0,4,0,0,4,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,8,5,8,11,8,45,3,0,0,0,8,0,14,0,3,0,0,5,0,13,4,5,0,0,0,0,9,0,7,5,4,0,4,17,9,4,0,4,0,4,17,3,7,0,0,3,4,16,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0
UCL922003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,0,6,0,0,0,3,10,3,5,0,0,0,3,16,3,11,6,0,4,7,23,0,0,0,0,0,0,5,0,0,0,0,0,4,4,0,0,0,0,0,0,0,16,18,3,0,3,11,61,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,5,0,0,0,4,12,0,4,0,0,0,5,13,0,0,5,0,3,4,15,5,6,0,0,0,3,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,7,6,7,17,60,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,0,0,0,3,19,4,9,0,0,0,0,20,4,7,9,0,3,3,29,9,11,3,0,0,9,37,0,0,0,3,0,5,10,0,0,0,0,0,4,4,0,0,0,0
UCL931001,11,0,0,0,3,3,17,6,3,0,0,5,25,38,9,0,0,0,3,113,137,9,11,0,3,3,61,94,18,24,7,6,10,36,87,12,13,13,0,12,19,58,7,18,8,11,15,10,71,3,6,0,4,7,6,32,0,3,0,0,0,0,6,73,78,28,25,65,271,536,9,0,0,0,3,7,20,3,4,0,4,3,4,17,6,14,3,0,9,13,40,3,14,9,0,3,0,33,13,24,11,5,3,13,70,4,21,10,4,15,6,60,4,15,6,11,0,9,47,0,3,9,4,7,3,39,6,0,0,6,0,0,4,45,94,42,40,44,52,330,14,5,0,0,5,6,31,11,9,0,4,8,25,52,14,11,7,6,12,121,173,15,27,9,4,7,61,125,24,43,14,9,8,48,158,16,36,22,7,24,23,119,14,26,12,21,23,21,119,8,9,4,8,21,13,66,5,3,0,6
UCL979997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
