UCL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
UCL915001,577,494,1074,303,171,473,49,109,156,30,22,52,0,5,12,387,307,695,81,99,179,1,1.9,1.4,66.3,62.7,64.6,65.6,61.5,63.7,10,23,29,9,19,24,33,58,92,40,46,79,150,50,198,14,19,35,3,5,10,167,74,243,486,421,908,97,94,191,349,309,658,194,170,365
UCL921001,679,796,1472,278,217,495,119,235,351,35,48,81,13,5,23,451,508,957,155,214,364,2.7,1.6,2.1,65.9,63.9,64.8,64.1,62.8,63.4,16,19,38,0,26,26,59,102,163,45,101,141,217,76,290,3,25,25,12,21,31,233,117,353,576,665,1240,147,145,289,394,443,841,284,350,637
UCL922001,165,168,333,65,35,99,26,27,52,0,0,0,0,5,0,91,64,153,53,77,119,1.1,4.6,2.6,54.2,39.2,46.7,53.6,37.3,45.5,0,0,5,0,0,0,0,0,0,3,6,6,29,15,45,3,7,15,0,0,3,30,22,56,179,157,338,11,9,15,150,139,289,23,17,32
UCL922002,51,45,98,25,13,41,0,12,9,4,4,5,0,5,3,32,34,67,0,7,7,2.9,6.5,4.6,69.4,66,67.7,67.3,61.7,64.6,0,3,4,0,4,3,12,5,17,10,0,6,9,8,8,0,0,0,0,4,4,11,8,14,39,44,80,12,12,25,17,20,37,31,28,62
UCL922003,61,60,121,28,25,58,11,14,26,0,0,0,0,0,0,40,45,89,9,3,5,0,0,0,69,73.8,71.4,69,73.8,71.4,0,4,4,0,3,7,6,15,22,5,3,9,21,6,23,0,0,0,0,0,0,21,6,23,38,33,75,14,20,38,21,18,35,34,34,72
UCL931001,536,330,859,109,72,183,39,76,111,14,17,33,4,11,18,171,176,340,307,95,401,4.2,5.2,4.7,31.5,53.4,39.8,30.2,50.6,38,10,20,24,0,4,3,23,34,57,23,24,47,80,32,112,3,5,13,0,8,11,95,42,138,278,266,541,44,42,86,195,206,402,104,91,189
UCL979997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL999994,6,4,11,3,6,5,4,0,4,0,0,0,0,0,4,5,4,8,0,0,0,16.7,33.3,22.2,66.7,100,75,55.6,66.7,58.3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,6,4,0,0,0,5,6,4
