UCL_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL915001,109,68,4,0,710
UCL921001,230,170,77,18,953
UCL922001,28,16,11,0,157
UCL922002,12,4,7,0,73
UCL922003,25,9,4,0,90
UCL931001,70,69,38,11,623
UCL979997,0,0,0,0,0
UCL999994,3,0,0,0,11
