UCL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
UCL915001,0,0,4,181,236,106,73,268,208,1074
UCL921001,13,0,38,242,450,222,147,247,163,1472
UCL922001,5,0,11,44,38,13,13,160,61,333
UCL922002,0,0,0,19,23,9,14,18,22,98
UCL922003,0,0,0,25,45,14,8,6,29,121
UCL931001,0,0,15,118,170,69,67,108,327,859
UCL979997,0,0,0,0,0,0,0,0,0,0
UCL999994,0,0,0,6,3,0,0,0,8,11
