UCL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
UCL915001,31,169,129,64,24,413,6,416
UCL921001,24,281,258,87,54,701,28,727
UCL922001,0,12,19,17,23,76,0,80
UCL922002,0,6,16,4,3,34,0,34
UCL922003,0,20,11,4,0,44,3,43
UCL931001,5,69,82,33,12,203,23,227
UCL979997,0,0,0,0,0,0,0,0
UCL999994,0,0,0,0,0,0,0,0
