UCL_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
UCL915001,0,0,0,0,0,0,0,0,0,13,6,0,23,0,0,0,24,12,0,34
UCL921001,0,0,0,0,0,0,0,0,0,23,24,4,53,0,0,0,53,10,0,64
UCL922001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
UCL922002,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,4,0,0,5
UCL922003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL931001,0,0,0,0,0,0,0,4,5,7,3,0,11,0,0,0,11,17,4,27
UCL979997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
