UCL_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
UCL915001,26,14,11,20,4,5,8,11,7,26,14,10,21,57,45,94,7,8,18,4,6,14,12,8,16,12,3,15,5,14,14,41,40,80,11,8,15,16,14,27,6,0,7,13,8,16,7,10,19,50,30,91,17,4,23,19,3,21,9,4,12,5,0,5,3,4,5,54,13,64,0,0,0,3,0,7,0,0,0,0,0,0,5,0,7,11,5,17,9,6,15,5,0,5,0,0,4,0,0,0,0,0,0,730,620,1355
UCL921001,22,12,14,25,20,17,38,20,13,35,17,28,44,84,84,163,14,15,31,17,24,41,21,22,40,21,16,36,12,19,35,79,94,175,16,16,35,11,15,27,11,15,21,7,19,29,9,15,27,59,81,134,14,11,24,16,20,37,9,15,27,12,9,22,7,9,14,52,67,119,10,6,20,5,11,20,12,8,16,12,12,16,0,8,8,39,44,80,22,25,43,9,15,24,4,4,18,0,0,0,0,0,0,822,917,1739
UCL922001,7,0,3,3,6,8,14,7,0,10,3,0,11,18,20,39,0,0,4,10,4,11,0,6,9,4,8,14,4,0,4,21,19,32,0,0,3,0,5,9,5,0,5,3,3,4,3,7,9,10,14,29,9,4,10,0,7,7,5,0,3,5,0,5,0,0,0,9,11,23,4,0,3,5,0,9,3,0,6,6,0,7,0,0,0,10,10,23,4,0,6,0,0,10,0,0,0,0,0,0,0,0,0,225,211,432
UCL922002,4,0,0,0,0,4,4,0,0,0,0,0,0,5,3,9,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,4,8,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,67,128
UCL922003,4,0,0,3,0,0,3,0,0,0,0,0,0,7,6,15,0,4,4,0,0,0,8,3,11,4,0,4,6,0,3,12,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,5,0,5,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,69,147
UCL931001,10,3,8,12,9,3,14,4,8,12,4,13,15,30,31,63,5,11,16,9,4,8,3,0,3,3,7,12,5,7,14,27,27,61,10,9,16,5,11,19,5,7,9,9,4,10,9,5,13,38,30,69,10,3,12,11,3,15,3,9,17,8,4,7,4,0,5,34,19,54,0,3,3,0,3,3,0,5,3,6,6,10,3,3,6,9,20,33,16,22,36,3,4,11,3,0,3,0,0,0,0,0,0,599,371,976
UCL979997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,11
