UCL_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
UCL915001,133,11,4,0,0,0,0,149
UCL921001,101,17,8,3,0,0,0,127
UCL922001,58,4,0,0,0,0,0,58
UCL922002,9,3,0,0,0,0,0,12
UCL922003,14,6,0,0,0,0,0,12
UCL931001,46,0,5,0,0,0,0,54
UCL979997,0,0,0,0,0,0,0,0
UCL999994,0,0,0,0,0,0,0,0
