UCL_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
UCL915001,39,1300,1251,150,2656,1,2113,2.5
UCL921001,50,1300,750,230,1631,0.7,1185,2
UCL922001,38,1972,644,250,1392,1.3,2305,4.5
UCL922002,31,0,1270,304,3083,0.8,2437,2.9
UCL922003,46,4584,1388,68,2899,0.9,2791,2.5
UCL931001,43,1250,662,129,1447,0.8,1142,2.5
UCL979997,0,0,0,0,0,0,0,0
UCL999994,62,0,710,0,0,0,0,0
