UCL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
UCL915001,4,0,4,219,38,7,261,606,209,1074
UCL921001,37,0,38,211,113,17,343,964,165,1472
UCL922001,6,0,11,48,27,0,74,199,61,333
UCL922002,0,0,0,18,14,0,29,41,23,98
UCL922003,0,0,0,20,8,6,28,59,29,121
UCL931001,8,0,15,78,41,12,130,402,322,859
UCL979997,0,0,0,0,0,0,0,0,0,0
UCL999994,0,0,0,4,0,0,4,6,3,11
