UCL_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
UCL915001,273,99,202,206,209,181,150,26,4,1355
UCL921001,269,151,126,209,228,344,258,129,38,1739
UCL922001,103,43,46,58,29,75,43,29,11,432
UCL922002,35,21,9,17,17,16,4,5,0,128
UCL922003,26,5,19,20,29,37,10,4,0,147
UCL931001,114,87,173,125,158,119,119,66,15,976
UCL979997,0,0,0,0,0,0,0,0,0,0
UCL999994,0,0,4,0,0,3,0,0,0,11
