ASGS_Structure,Census_Code_2021,AGSS_Code_2021,Census_Name_2021,Area sqkm
SA3,10702,10702,Illawarra Catchment Reserve,744.3423
SA3,10703,10703,Kiama - Shellharbour,390.7982
SA3,10704,10704,Wollongong,240.0824
SA3,10801,10801,Great Lakes,3133.0446
SA3,10802,10802,Kempsey - Nambucca,5339.3246
SA3,10803,10803,Lord Howe Island,16.2918
SA3,10804,10804,Port Macquarie,3687.7694
SA3,10805,10805,Taree - Gloucester,6675.0682
SA3,10901,10901,Albury,5597.0037
SA3,10902,10902,Lower Murray,63967.8828
SA3,10903,10903,Upper Murray exc. Albury,28231.6033
SA3,11001,11001,Armidale,16395.6494
SA3,11002,11002,Inverell - Tenterfield,30566.4425
SA3,11003,11003,Moree - Narrabri,32022.7204
SA3,11004,11004,Tamworth - Gunnedah,20155.0876
SA3,11101,11101,Lake Macquarie - East,138.0853
SA3,11102,11102,Lake Macquarie - West,507.6329
SA3,11103,11103,Newcastle,224.8639
SA3,11201,11201,Richmond Valley - Coastal,1572.9178
SA3,11202,11202,Richmond Valley - Hinterland,7390.617
SA3,11203,11203,Tweed Valley,1307.7853
SA3,11301,11301,Griffith - Murrumbidgee (West),28859.6888
SA3,11302,11302,Tumut - Tumbarumba,9174.7261
SA3,11303,11303,Wagga Wagga,18950.5656
SA3,11401,11401,Shoalhaven,4374.9473
SA3,11402,11402,Southern Highlands,2330.0146
SA3,11501,11501,Baulkham Hills,72.0257
SA3,11502,11502,Dural - Wisemans Ferry,569.2386
SA3,11503,11503,Hawkesbury,2492.0101
SA3,11504,11504,Rouse Hill - McGraths Hill,118.2237
SA3,11601,11601,Blacktown,55.9289
SA3,11602,11602,Blacktown - North,103.0657
SA3,11603,11603,Mount Druitt,81.8889
SA3,11701,11701,Botany,28.3677
SA3,11702,11702,Marrickville - Sydenham - Petersham,12.67
SA3,11703,11703,Sydney Inner City,25.0658
SA3,11801,11801,Eastern Suburbs - North,26.1862
SA3,11802,11802,Eastern Suburbs - South,31.548
SA3,11901,11901,Bankstown,68.6675
SA3,11902,11902,Canterbury,29.9648
SA3,11903,11903,Hurstville,33.9469
SA3,11904,11904,Kogarah - Rockdale,31.348
SA3,12001,12001,Canada Bay,19.7477
SA3,12002,12002,Leichhardt,10.6577
SA3,12003,12003,Strathfield - Burwood - Ashfield,34.1437
SA3,12101,12101,Chatswood - Lane Cove,33.1733
SA3,12102,12102,Hornsby,137.3989
SA3,12103,12103,Ku-ring-gai,85.5463
SA3,12104,12104,North Sydney - Mosman,18.9809
SA3,12201,12201,Manly,14.3455
SA3,12202,12202,Pittwater,90.6494
SA3,12203,12203,Warringah,149.2123
SA3,12301,12301,Camden,73.8692
SA3,12302,12302,Campbelltown (NSW),333.0123
SA3,12303,12303,Wollondilly,870.3606
SA3,12401,12401,Blue Mountains,942.4079
SA3,12402,12402,Blue Mountains - South,2456.9093
SA3,12403,12403,Penrith,356.859
SA3,12404,12404,Richmond - Windsor,178.8386
SA3,12405,12405,St Marys,33.1146
SA3,12501,12501,Auburn,33.06
SA3,12502,12502,Carlingford,25.6873
SA3,12503,12503,Merrylands - Guildford,56.9969
SA3,12504,12504,Parramatta,47.0908
SA3,12601,12601,Pennant Hills - Epping,22.1744
SA3,12602,12602,Ryde - Hunters Hill,47.1624
SA3,12701,12701,Bringelly - Green Valley,291.524
SA3,12702,12702,Fairfield,123.7703
SA3,12703,12703,Liverpool,124.9847
SA3,12801,12801,Cronulla - Miranda - Caringbah,55.6052
SA3,12802,12802,Sutherland - Menai - Heathcote,240.2473
SA3,19797,19797,Migratory - Offshore - Shipping (NSW),0
SA3,19999,19999,No usual address (NSW),0
SA3,20101,20101,Ballarat,448.3487
SA3,20102,20102,Creswick - Daylesford - Ballan,3666.673
SA3,20103,20103,Maryborough - Pyrenees,6172.454
SA3,20201,20201,Bendigo,287.4437
SA3,20202,20202,Heathcote - Castlemaine - Kyneton,3920.938
SA3,20203,20203,Loddon - Elmore,7633.5241
SA3,20301,20301,Barwon - West,2579.8387
SA3,20302,20302,Geelong,918.8913
SA3,20303,20303,Surf Coast - Bellarine Peninsula,929.969
SA3,20401,20401,Upper Goulburn Valley,13959.3184
SA3,20402,20402,Wangaratta - Benalla,6545.573
SA3,20403,20403,Wodonga - Alpine,13501.5851
SA3,20501,20501,Baw Baw,3933.8416
SA3,20502,20502,Gippsland - East,21713.2073
SA3,20503,20503,Gippsland - South West,4381.6191
SA3,20504,20504,Latrobe Valley,1479.6675
SA3,20505,20505,Wellington,10044.7738
SA3,20601,20601,Brunswick - Coburg,20.4136
SA3,20602,20602,Darebin - South,14.0275
SA3,20603,20603,Essendon,18.2149
SA3,20604,20604,Melbourne City,31.3927
SA3,20605,20605,Port Phillip,25.8641
SA3,20606,20606,Stonnington - West,11.9292
SA3,20607,20607,Yarra,20.6159
SA3,20701,20701,Boroondara,60.0159
SA3,20702,20702,Manningham - West,48.6725
SA3,20703,20703,Whitehorse - West,38.0552
SA3,20801,20801,Bayside,37.2111
SA3,20802,20802,Glen Eira,40.7003
SA3,20803,20803,Kingston,69.8632
SA3,20804,20804,Stonnington - East,13.7218
SA3,20901,20901,Banyule,62.6133
SA3,20902,20902,Darebin - North,39.4437
SA3,20903,20903,Nillumbik - Kinglake,751.7682
SA3,20904,20904,Whittlesea - Wallan,997.4395
SA3,21001,21001,Keilor,42.4249
SA3,21002,21002,Macedon Ranges,992.1072
SA3,21003,21003,Moreland - North,30.3779
SA3,21004,21004,Sunbury,260.6846
SA3,21005,21005,Tullamarine - Broadmeadows,294.0938
SA3,21101,21101,Knox,118.3018
SA3,21102,21102,Manningham - East,66.5619
SA3,21103,21103,Maroondah,61.1872
SA3,21104,21104,Whitehorse - East,26.5696
SA3,21105,21105,Yarra Ranges,1605.9372
SA3,21201,21201,Cardinia,1282.3263
SA3,21202,21202,Casey - North,116.5028
SA3,21203,21203,Casey - South,292.9259
SA3,21204,21204,Dandenong,151.051
SA3,21205,21205,Monash,79.4734
SA3,21301,21301,Brimbank,106.8497
SA3,21302,21302,Hobsons Bay,62.2158
SA3,21303,21303,Maribyrnong,31.2258
SA3,21304,21304,Melton - Bacchus Marsh,671.9435
SA3,21305,21305,Wyndham,544.119
SA3,21401,21401,Frankston,129.5981
SA3,21402,21402,Mornington Peninsula,724.1681
SA3,21501,21501,Grampians,38139.6815
SA3,21502,21502,Mildura,22081.9206
SA3,21503,21503,Murray River - Swan Hill,17851.3822
SA3,21601,21601,Campaspe,4554.7835
SA3,21602,21602,Moira,4045.9201
SA3,21603,21603,Shepparton,2333.1625
SA3,21701,21701,Glenelg - Southern Grampians,12946.3914
SA3,21703,21703,Colac - Corangamite,7936.5546
SA3,21704,21704,Warrnambool,5496.1771
SA3,29797,29797,Migratory - Offshore - Shipping (Vic.),0
SA3,29999,29999,No usual address (Vic.),0
SA3,30101,30101,Capalaba,89.2962
SA3,30102,30102,Cleveland - Stradbroke,480.9782
SA3,30103,30103,Wynnum - Manly,82.8585
SA3,30201,30201,Bald Hills - Everton Park,35.9308
SA3,30202,30202,Chermside,32.2387
SA3,30203,30203,Nundah,87.0317
SA3,30204,30204,Sandgate,31.7471
SA3,30301,30301,Carindale,26.5106
SA3,30302,30302,Holland Park - Yeronga,27.565
SA3,30303,30303,Mt Gravatt,79.3867
SA3,30304,30304,Nathan,24.4776
SA3,30305,30305,Rocklea - Acacia Ridge,85.2446
SA3,30306,30306,Sunnybank,22.16
SA3,30401,30401,Centenary,16.9755
SA3,30402,30402,Kenmore - Brookfield - Moggill,134.6112
SA3,30403,30403,Sherwood - Indooroopilly,21.2963
SA3,30404,30404,The Gap - Enoggera,96.7678
SA3,30501,30501,Brisbane Inner,13.5584
SA3,30502,30502,Brisbane Inner - East,15.5988
SA3,30503,30503,Brisbane Inner - North,30.9466
SA3,30504,30504,Brisbane Inner - West,21.6355
SA3,30601,30601,Cairns - North,160.315
SA3,30602,30602,Cairns - South,633.4764
SA3,30603,30603,Innisfail - Cassowary Coast,5995.1825
SA3,30604,30604,Port Douglas - Daintree,2421.0913
SA3,30605,30605,Tablelands (East) - Kuranda,12127.9126
SA3,30701,30701,Darling Downs (West) - Maranoa,141260.7719
SA3,30702,30702,Darling Downs - East,16653.3006
SA3,30703,30703,Granite Belt,8432.5913
SA3,30801,30801,Central Highlands (Qld),60225.3937
SA3,30803,30803,Rockhampton,18328.1353
SA3,30804,30804,Biloela,28550.1865
SA3,30805,30805,Gladstone,10484.2861
SA3,30901,30901,Broadbeach - Burleigh,33.6726
SA3,30902,30902,Coolangatta,34.9326
SA3,30903,30903,Gold Coast - North,40.6695
SA3,30904,30904,Gold Coast Hinterland,828.0472
SA3,30905,30905,Mudgeeraba - Tallebudgera,189.0406
SA3,30906,30906,Nerang,123.1535
SA3,30907,30907,Ormeau - Oxenford,519.8605
SA3,30908,30908,Robina,33.6326
SA3,30909,30909,Southport,35.0565
SA3,30910,30910,Surfers Paradise,19.7118
SA3,31001,31001,Forest Lake - Oxley,63.7138
SA3,31002,31002,Ipswich Hinterland,6135.8159
SA3,31003,31003,Ipswich Inner,378.0559
SA3,31004,31004,Springfield - Redbank,103.5925
SA3,31101,31101,Beaudesert,1628.0297
SA3,31102,31102,Beenleigh,60.1509
SA3,31103,31103,Browns Plains,169.579
SA3,31104,31104,Jimboomba,582.4333
SA3,31105,31105,Loganlea - Carbrook,88.7275
SA3,31106,31106,Springwood - Kingston,57.2426
SA3,31201,31201,Bowen Basin - North,79852.7838
SA3,31202,31202,Mackay,7613.2963
SA3,31203,31203,Whitsunday,2674.1083
SA3,31301,31301,Bribie - Beachmere,255.4465
SA3,31302,31302,Caboolture,314.7214
SA3,31303,31303,Caboolture Hinterland,3388.2853
SA3,31304,31304,Narangba - Burpengary,172.4129
SA3,31305,31305,Redcliffe,213.5896
SA3,31401,31401,The Hills District,668.681
SA3,31402,31402,North Lakes,66.3172
SA3,31403,31403,Strathpine,38.3965
SA3,31501,31501,Far North,250877.5631
SA3,31502,31502,Outback - North,307081.5221
SA3,31503,31503,Outback - South,625216.0427
SA3,31601,31601,Buderim,76.1298
SA3,31602,31602,Caloundra,113.1063
SA3,31603,31603,Maroochy,70.3493
SA3,31605,31605,Noosa,92.103
SA3,31606,31606,Sunshine Coast Hinterland,1568.2703
