POA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA2899,503,562,1062,103,131,229,89,101,189,16,23,38,80,95,176,4,0,10,8,8,15,7,0,3,4,0,3,9,9,21,4,0,0,215,243,451,45,42,87,6,7,6,365,417,776,127,116,251,1001,1091,2091
POA6798,397,350,746,62,54,117,19,8,22,7,5,15,11,5,17,0,3,3,76,79,161,0,5,4,10,0,11,9,3,14,0,0,0,132,115,243,18,14,31,0,0,0,211,189,397,349,103,457,961,641,1606
POA6799,181,162,346,3,7,11,0,0,4,0,0,0,4,5,9,0,0,0,36,34,69,0,0,0,4,3,4,4,5,6,0,0,0,48,48,95,8,0,7,0,0,0,59,56,111,49,52,101,281,271,557
POA9494,3311,2111,5422,1052,733,1784,2916,2648,5560,2103,2112,4219,3102,3051,6154,869,819,1687,1236,1146,2376,390,352,739,255,246,502,158,177,337,0,0,0,11035,10544,21579,1597,1934,3528,259,185,442,13932,13394,27326,10497,6771,17265,27737,22277,50018
POA9797,181,27,209,0,0,0,15,0,16,0,0,0,22,0,23,4,0,6,90,12,100,3,0,3,13,0,11,0,0,0,0,0,0,148,21,170,61,9,63,0,0,0,209,30,239,368,51,417,753,104,863
