POA_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
POA2899,0,0,0,52,38,84,7,8,18,59,41,101,0,0,0,56,57,109,4,4,12,63,60,123,0,0,0,63,41,106,14,7,21,77,49,128,0,0,0,39,40,86,8,6,15,50,49,103,0,0,0,25,40,73,6,8,13,31,48,81,0,0,0,32,35,65,4,4,10,36,40,78,0,0,0,29,43,65,4,10,14,32,51,80,0,0,0,36,62,106,8,7,15,41,74,117,0,0,0,60,51,112,8,12,20,69,64,134,0,0,0,55,66,128,11,4,18,66,72,141,0,5,5,68,63,130,13,8,18,78,74,150,3,0,3,80,97,178,15,6,19,97,110,203,0,0,5,89,100,181,15,9,19,104,109,209,0,0,6,226,266,490,27,28,56,249,293,538,8,13,23,914,999,1909,138,117,258,1060,1130,2188
POA6798,0,0,0,40,36,69,3,5,12,45,41,83,0,0,0,49,43,94,8,3,8,58,49,100,0,0,0,42,43,84,8,5,15,50,46,100,0,0,0,20,27,48,4,3,3,22,32,54,0,0,0,45,20,60,9,3,9,52,23,73,0,0,0,80,40,121,10,4,19,93,48,140,0,0,0,109,33,144,20,12,33,131,53,184,0,0,0,77,52,128,11,9,23,88,68,158,0,0,0,54,48,99,4,4,13,63,55,115,0,0,0,64,35,101,11,4,17,70,40,115,0,0,0,63,62,126,12,7,27,82,64,152,0,0,0,56,34,97,8,9,19,64,48,112,3,3,5,42,44,83,3,6,3,46,54,95,0,0,0,130,59,190,19,7,26,147,66,216,4,4,10,867,577,1442,134,98,234,1006,685,1692
POA6799,0,0,0,21,13,34,5,3,3,23,15,37,0,0,0,25,22,51,0,4,0,32,21,51,0,0,0,18,14,36,3,3,8,23,20,37,0,0,0,8,5,12,0,3,3,8,8,17,0,0,0,16,17,29,3,5,5,20,21,36,0,0,0,17,11,34,6,9,12,23,17,45,0,0,0,6,15,19,0,4,0,4,15,25,0,0,0,26,20,49,3,3,10,32,26,51,0,0,0,14,11,26,0,4,4,14,15,27,0,0,0,13,13,25,0,0,3,15,11,28,0,0,0,8,16,22,3,0,5,10,13,26,0,0,0,19,28,45,0,4,10,24,29,52,0,0,0,30,22,44,4,4,10,32,24,55,0,0,0,48,40,83,11,6,13,55,49,103,0,0,0,261,244,510,45,47,86,302,292,593
POA9494,233,197,436,700,604,1303,175,137,316,1114,935,2049,140,171,310,703,625,1324,169,167,338,1009,961,1967,130,124,255,544,534,1079,151,153,298,815,809,1626,190,217,406,696,827,1518,160,171,329,1046,1209,2255,260,274,528,1258,1253,2515,281,263,541,1800,1786,3585,269,255,531,1774,1823,3597,433,444,881,2479,2526,5006,294,281,575,1820,1627,3442,454,321,777,2563,2228,4789,336,262,600,1727,1360,3089,471,297,766,2532,1923,4453,365,261,623,1643,1177,2819,460,260,720,2463,1698,4164,350,243,594,1603,976,2582,469,270,740,2421,1485,3908,320,194,513,1423,1157,2587,439,232,670,2184,1589,3769,212,120,335,1489,1233,2725,418,259,681,2125,1617,3743,149,121,270,1669,1412,3081,375,241,617,2189,1776,3964,155,118,272,3341,2195,5533,617,364,987,4116,2682,6793,3402,2841,6240,20388,16796,37189,5061,3572,8644,28851,23214,52069
POA9797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,0,3,12,3,11,0,0,0,16,14,31,16,10,29,37,23,58,3,0,3,34,9,45,33,11,42,74,15,92,4,0,4,48,7,50,45,9,51,89,14,104,4,0,5,64,9,69,64,9,74,136,16,149,0,0,0,62,5,64,61,6,65,126,3,129,0,0,0,53,5,53,49,0,52,100,5,107,0,0,0,44,6,43,31,4,39,83,6,86,0,0,0,22,0,24,18,3,22,37,7,47,0,0,0,27,3,27,25,4,29,52,13,57,0,0,0,14,5,20,8,0,8,25,4,28,18,0,19,383,57,436,349,51,403,753,107,864
