POA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2899,269,215,103,30,1200
POA6798,121,72,4,0,968
POA6799,54,15,13,0,249
POA9494,5503,3442,677,111,33347
POA9797,83,23,0,0,734
