POA_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
POA2899,0,0,0,0,39,8,50,0,0,0,0,24,6,31,19,5,3,18,40,8,67,51,6,5,64,37,15,117,39,7,5,53,72,20,150,13,11,0,24,143,27,195,3,16,0,21,112,12,147,0,5,0,5,60,13,76,0,0,0,0,25,0,23,129,53,12,194,553,113,860,0,7,0,7,34,9,49,3,11,0,10,29,4,48,27,8,0,31,41,11,90,68,9,5,85,30,17,136,44,13,9,60,75,14,151,9,33,0,41,161,17,216,0,18,0,18,141,12,170,0,6,0,6,78,11,95,0,0,0,0,24,4,30,148,95,15,264,615,105,983,0,14,0,14,70,21,103,3,14,0,12,60,12,81,43,7,3,53,84,28,154,123,11,11,145,70,31,250,85,18,14,113,151,33,297,23,47,0,68,299,46,409,3,33,0,41,254,23,319,0,11,0,11,136,23,174,0,0,0,0
POA6798,0,0,0,0,19,3,22,0,0,0,0,22,32,52,22,0,0,29,61,135,221,35,0,0,42,38,72,146,27,0,0,28,69,58,152,11,8,0,18,78,13,111,0,8,0,3,99,20,128,0,0,0,0,17,0,16,0,0,0,0,4,0,4,100,17,3,116,398,338,856,0,0,0,0,27,3,32,4,0,0,4,15,3,23,26,4,0,35,41,23,94,61,3,4,64,35,23,117,26,0,0,28,69,11,109,4,7,0,16,71,18,99,0,3,0,3,38,5,52,0,0,0,0,13,3,14,0,0,0,0,0,0,0,124,16,4,148,310,86,546,0,0,0,0,48,8,54,4,0,0,7,29,35,73,53,4,0,58,105,160,319,95,5,3,103,68,94,271,56,5,0,57,135,65,263,13,16,0,28,154,30,210,0,7,0,8,141,27,178,0,0,0,0,31,0,32,0,0,0,0
POA6799,0,0,0,0,8,0,8,0,0,0,0,16,3,20,12,0,0,12,15,11,32,16,0,0,16,16,7,45,7,0,0,7,16,6,27,0,0,0,9,38,13,53,0,4,0,4,19,5,30,0,0,0,0,13,3,18,0,0,0,0,5,0,3,34,11,0,48,141,42,229,0,0,0,0,5,3,8,3,0,0,4,8,5,21,9,3,0,17,12,5,36,18,0,5,19,13,6,42,3,0,0,9,17,4,31,0,10,0,10,33,15,54,0,9,0,9,19,3,32,0,0,0,0,8,0,12,0,0,0,0,0,0,0,34,23,7,61,130,47,236,0,0,0,0,12,3,17,3,0,0,4,29,5,36,19,3,0,22,28,17,65,31,0,3,40,30,17,85,15,0,0,12,32,6,53,0,13,0,12,71,26,111,0,10,0,10,39,8,63,0,3,0,3,22,8,33,0,0,0,0
POA9494,5,42,0,46,648,352,1046,83,48,4,133,1042,629,1800,578,106,24,702,2487,1857,5039,835,81,38,955,1745,2286,4995,375,75,17,462,2032,2109,4606,50,105,4,165,2632,1514,4310,13,112,0,128,2365,786,3277,0,20,0,22,549,180,754,0,0,0,0,44,36,79,1948,582,84,2612,13554,9745,25913,28,99,0,128,738,351,1209,164,75,11,251,1010,522,1786,786,152,51,984,2267,1496,4752,918,74,63,1048,1173,1399,3621,296,142,14,460,1592,1026,3077,26,276,4,303,2311,779,3397,4,165,0,169,1571,408,2144,5,14,0,19,329,83,427,0,3,0,3,66,32,101,2215,995,147,3359,11060,6090,20508,30,139,4,175,1386,696,2255,247,127,14,384,2049,1152,3585,1360,253,78,1686,4753,3349,9793,1750,155,102,2008,2920,3686,8616,671,213,30,920,3625,3127,7674,79,381,10,469,4947,2296,7709,23,271,0,298,3934,1194,5421,0,34,0,38,882,265,1187,0,3,0,3
POA9797,0,0,0,0,6,7,12,0,0,0,0,21,14,37,13,0,0,11,67,80,160,22,0,0,24,104,132,258,6,0,0,9,86,87,179,0,3,0,4,45,44,91,0,0,0,0,8,10,19,0,0,0,0,3,0,3,0,0,0,0,0,0,0,42,4,3,52,343,361,753,0,0,0,0,0,0,3,0,0,0,3,7,10,23,0,0,0,0,16,16,32,0,0,0,0,7,12,22,0,0,0,3,5,3,11,0,0,0,0,9,5,17,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,6,53,51,108,0,0,0,0,10,5,11,0,5,0,4,28,27,58,15,0,0,13,81,96,189,22,0,0,24,112,140,275,12,4,0,12,93,88,190,0,3,0,4,51,47,103,0,0,0,0,19,7,20,0,0,0,0,4,0,4,0,0,0,0
