POA_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
POA2899,11,20,10,24,32,38,18,32,0,187,9,22,17,12,24,36,16,17,0,145,6,16,16,23,66,32,12,23,3,199,9,49,34,21,20,19,0,0,3,158,16,19,19,26,38,33,4,8,0,157,10,24,26,12,28,12,0,0,0,112,6,4,6,3,8,10,0,0,0,45,10,34,14,12,27,10,5,4,0,113,6,0,4,0,0,3,0,0,4,18,94,183,141,127,255,189,50,84,15,1139
POA6798,4,5,0,0,23,30,15,24,4,100,3,3,4,8,30,26,8,12,0,97,10,8,0,8,42,27,17,26,5,143,3,30,12,5,12,27,3,24,0,123,0,16,5,0,34,18,3,7,3,92,0,6,3,0,5,0,0,3,0,14,5,6,0,0,22,11,10,21,0,80,5,25,6,4,37,19,0,9,4,105,0,4,0,0,3,0,0,0,10,16,27,105,38,30,207,161,45,130,28,771
POA6799,0,0,0,3,10,12,7,12,0,37,0,0,4,0,7,7,3,7,0,34,0,9,4,0,9,7,3,9,0,40,0,11,6,7,8,0,0,9,0,39,0,3,0,0,7,5,0,8,0,21,0,5,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,6,0,11,0,12,3,3,5,10,0,13,0,46,0,0,0,0,0,0,0,0,0,0,3,47,17,18,47,42,12,57,0,239
POA9494,116,96,72,43,173,219,53,177,19,969,236,250,218,145,338,421,83,197,27,1911,158,145,118,67,245,277,89,271,48,1409,195,311,260,158,181,138,38,102,36,1423,105,165,127,66,233,149,32,69,16,962,103,188,123,59,104,55,20,40,20,705,113,105,88,68,144,161,73,322,30,1105,150,377,274,190,338,303,89,301,61,2080,34,32,16,11,44,27,11,27,125,319,1199,1672,1298,806,1793,1750,482,1505,386,10888
POA9797,0,0,0,0,0,0,0,8,0,8,5,0,0,0,0,8,0,57,0,70,4,3,0,0,0,4,0,82,0,92,0,0,0,0,0,0,0,11,0,15,0,0,0,0,5,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,29,0,32,7,8,0,0,3,5,8,112,13,156,0,0,0,0,0,0,0,7,0,12,20,15,5,0,6,15,14,302,14,400
