POA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
POA2899,23,334,334,117,61,871,26,898
POA6798,31,167,129,62,24,414,6,422
POA6799,0,32,38,20,24,118,4,122
POA9494,0,0,0,0,0,0,0,0
POA9797,5,0,0,0,0,6,0,6
