POA_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2899,31,38,72,101,123,163,71,23,0,627,12,4,8,14,18,39,89,57,19,253,4,8,13,17,14,20,12,11,6,101,49,48,90,136,151,216,170,95,30,983,10,37,62,110,138,171,43,8,0,578,43,24,45,68,70,107,72,23,3,455,5,6,15,12,15,19,17,4,0,94,4,3,4,0,4,0,0,0,0,15,64,65,125,189,228,297,131,36,4,1139,0,0,0,4,0,10,0,0,0,14,0,0,0,0,3,5,0,0,0,12,0,0,0,6,0,11,3,0,0,33,64,68,125,199,230,306,137,35,4,1172,23,6,7,23,32,62,159,107,42,466,12,10,21,31,33,40,26,28,8,204,103,81,154,250,297,409,319,174,50,1839
POA6798,22,10,62,86,85,60,22,0,0,347,10,7,10,14,9,21,22,13,0,107,3,4,23,20,14,16,4,3,0,88,32,23,94,117,109,99,52,14,0,546,3,23,108,122,138,96,57,0,0,548,23,6,29,33,33,29,21,0,0,170,0,0,7,8,5,6,5,0,0,27,0,0,6,0,6,8,6,0,0,28,30,32,150,155,182,141,85,0,0,771,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,12,26,32,150,157,182,145,85,0,0,783,23,23,122,66,39,36,68,31,4,415,3,10,49,42,42,27,24,3,0,208,54,73,319,271,263,210,178,32,4,1406
POA6799,0,14,23,22,23,27,3,0,0,113,4,3,9,11,4,22,17,7,0,80,3,5,5,6,3,9,3,0,0,39,8,21,36,42,31,54,32,12,0,236,0,14,27,41,32,42,3,0,0,157,5,8,16,15,12,21,0,0,0,78,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,26,47,60,38,61,6,0,0,239,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,6,24,47,57,42,63,6,0,0,248,4,4,7,11,3,26,45,28,11,140,3,5,17,12,10,19,8,8,0,82,17,36,65,85,53,111,63,33,11,467
POA9494,404,734,1973,1139,937,815,155,9,0,6182,467,534,1307,1119,1117,1812,1589,338,67,8340,333,518,1472,1366,1017,770,401,83,39,5990,1209,1786,4752,3621,3077,3397,2144,427,101,20508,121,531,1925,1192,942,705,120,3,0,5538,259,460,1117,664,537,539,177,8,0,3767,59,103,319,273,207,194,43,8,0,1199,20,45,99,85,66,44,16,7,0,386,463,1143,3463,2214,1749,1474,354,24,0,10888,116,239,517,440,377,227,31,3,0,1951,151,142,223,157,145,150,37,7,0,1006,266,381,732,597,517,377,67,10,0,2952,727,1524,4196,2816,2274,1859,427,34,6,13847,864,934,2297,2175,2302,3579,3838,886,110,16988,665,1131,3300,3626,3101,2265,1160,262,67,15590,2255,3585,9793,8616,7674,7709,5421,1187,183,46420
POA9797,0,8,13,7,5,0,0,0,0,44,0,6,0,0,4,0,5,0,0,16,0,10,16,12,3,5,0,0,0,51,3,23,32,22,11,17,4,0,0,108,0,27,78,110,79,36,3,0,0,343,0,0,4,3,3,0,0,0,0,18,0,0,9,0,0,6,0,0,0,20,0,4,3,7,0,0,0,0,0,14,3,27,90,125,97,46,9,0,0,400,0,0,3,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,3,27,95,131,97,48,9,0,0,405,0,3,3,6,8,7,9,4,0,48,7,27,90,145,89,47,7,0,0,414,11,58,189,275,190,103,20,4,0,863
