POA_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
POA2899,31,19,13,31,24,24,47,22,20,39,20,36,57,97,110,203,14,21,34,21,25,48,24,22,45,24,18,40,17,27,42,104,109,209,26,20,40,15,21,35,13,18,29,9,20,32,16,15,32,74,96,170,17,9,27,18,27,39,12,25,32,12,12,29,10,9,13,76,75,152,10,16,25,5,12,20,11,8,20,11,13,26,6,4,9,50,55,105,28,34,70,16,21,33,7,4,21,0,0,0,0,0,0,1060,1130,2188
POA6798,26,17,11,20,11,3,11,16,13,29,15,7,24,64,48,112,14,12,25,6,6,17,9,8,19,12,10,17,7,14,18,46,54,95,11,8,20,16,10,30,9,0,13,13,8,23,12,8,22,63,38,102,21,4,24,26,3,31,5,3,10,5,0,5,0,4,6,63,14,78,0,0,0,3,5,6,0,0,4,0,0,0,5,5,4,12,8,20,10,6,17,5,0,5,0,0,4,0,0,0,0,0,0,1006,685,1692
POA6799,11,0,4,6,3,7,10,7,5,7,5,9,10,24,29,52,4,9,11,13,0,13,4,7,17,9,8,13,8,0,9,32,24,55,0,0,3,0,5,9,3,0,9,3,3,4,0,7,4,16,14,29,11,5,13,5,7,9,4,5,8,5,0,5,0,4,4,18,15,33,4,0,3,4,0,5,3,0,6,3,0,5,0,0,0,13,10,22,4,3,7,0,0,10,0,0,0,0,0,0,0,0,0,302,292,593
POA9494,773,386,286,677,381,302,682,436,347,785,443,383,827,2125,1617,3743,523,398,923,419,335,752,434,355,785,401,329,726,415,361,780,2189,1776,3964,437,336,774,394,282,680,399,273,672,390,244,633,381,197,578,1998,1336,3334,323,210,538,288,195,483,245,139,389,205,134,343,210,130,341,1282,810,2092,176,93,265,145,63,206,100,54,153,86,52,139,69,33,103,571,302,876,178,132,309,53,70,119,23,22,43,11,12,16,0,0,0,28851,23214,52069
POA9797,5,18,6,20,5,0,3,6,0,6,4,0,4,37,7,47,10,0,11,10,0,10,14,6,17,12,0,9,10,3,9,52,13,57,5,0,5,7,0,11,5,0,3,0,0,0,5,0,3,15,3,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753,107,864
