POA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA2899,46,7,50,276,147,29,453,1168,218,1839
POA6798,4,0,4,218,38,7,271,711,425,1406
POA6799,6,0,11,69,31,4,105,270,89,467
POA9494,117,64,183,4161,1575,232,5969,24611,15839,46420
POA9797,0,0,0,51,12,3,62,386,419,863
