POA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
POA2899,50,1300,736,240,1630,0.8,1184,2.1
POA6798,38,1300,1233,150,2659,1,2109,2.5
POA6799,40,1972,741,231,1678,1.1,2519,3.8
POA9494,0,0,0,0,0,0,0,0
POA9797,40,1733,1887,0,2249,0.8,2250,1.9
