POA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA2899,187,145,199,158,157,112,45,113,18,1139
POA6798,100,97,143,123,92,14,80,105,16,771
POA6799,37,34,40,39,21,12,11,46,0,239
POA9494,969,1911,1409,1423,962,705,1105,2080,319,10888
POA9797,8,70,92,15,6,0,32,156,12,400
