POA_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA2899,739,827,1564,65,79,145,39,35,70,5,11,11,42,27,68,0,0,0,0,0,0,0,0,0,3,4,6,7,8,10,0,0,4,94,80,178,13,13,30,3,0,3,179,176,350,140,125,262,1050,1125,2175
POA6798,545,466,1009,34,24,59,11,4,17,8,4,10,8,9,19,0,0,0,45,56,94,0,0,0,0,0,0,3,0,4,0,0,0,69,74,144,8,3,10,0,0,0,109,105,208,346,105,453,999,676,1671
POA6799,225,199,425,0,3,3,0,4,4,0,0,0,0,0,0,0,0,0,20,16,42,0,0,0,6,4,4,0,3,6,0,0,3,26,24,54,0,0,0,0,0,0,26,28,57,44,55,106,297,291,587
POA9494,5235,3604,8836,2226,1639,3868,2511,2511,5024,1902,1967,3872,2873,3040,5915,733,781,1513,1056,1093,2150,327,317,637,210,242,454,136,167,306,0,0,0,9747,10124,19875,731,721,1457,252,169,419,12963,12653,25619,10467,6785,17250,28664,23047,51704
POA9797,312,40,353,0,0,0,3,0,8,3,0,3,15,3,17,3,0,3,35,4,43,3,0,3,5,0,5,0,0,0,0,0,0,72,12,81,16,0,19,0,0,0,86,17,99,358,51,412,753,107,864
